codigo;cidSigla;Cidade;Endereco;coordinates/latitude;coordinates/longitude
I01;SLE;São Leopoldo;R. Marques Do Herval, 322;-29,7620313;-51,1457841
A01;SLE;São Leopoldo;R. Primeiro De Marco Esquina Conceição;-29,7670806;-51,1466058
A02;SLE;São Leopoldo;R. Bento Gonçalves, 633;-29,7655831;-51,1479885
A03;SLE;São Leopoldo;R. Conceição, 711;-29,7674256;-51,1472511
A04;SLE;São Leopoldo;R. João Correa, 26;-29,7697457;-51,1353567
A05;SLE;São Leopoldo;R. Pres. Rosevelt, 1221;-29,7669205;-51,1526279
A06;SLE;São Leopoldo;R. Teodomiro Porto Da Fonseca, 515;-29,7734923;-51,1479196
A07;SLE;São Leopoldo;R. Pres. Rosevelt, 121;-29,7649174;-51,1414251
A08;SLE;São Leopoldo;R. São Borja, 925;-29,776592;-51,128708
A09;SLE;São Leopoldo;R. Presidente Lucena, 972;-29,731119;-51,154744
A10;SLE;São Leopoldo;R. Av. Unisinos, 1550;-29,7914632;-51,1499797
A11;SLE;São Leopoldo;R. Av. Feitoria, 1674;-29,7664389;-51,1198961
A12;SLE;São Leopoldo;R. Av. Pres. Jhon Kennedy, 727;-29,7549941;-51,150283
A13;SLE;São Leopoldo;R. Adelfo Pinto, 138;-29,7540263;-51,0988767
A14;SLE;São Leopoldo;R. Av. Integração, 629;-29,7447195;-51,0963248
A15;SLE;São Leopoldo;R. Av Albino Timm Nº 19 Quadra 14;-29,7665803;-51,0934967
A16;SLE;São Leopoldo;R. Edgar Leopoldo Feldmann, 390;-29,7629268;-51,0932971
A17;SLE;São Leopoldo;R. Dr. Hillebrand, 923;-29,7509689;-51,1474979
A18;SLE;São Leopoldo;R. Av. Imperatriz Leopoldina, 3221;-29,759155;-51,1105071
A19;SLE;São Leopoldo;R. Manoel Vargas, 99;-29,748435;-51,157639
A20;SLE;São Leopoldo;R. Av. Tomaz Edison, 1499;-29,7332269;-51,154818
A21;SLE;São Leopoldo;R. Arno Schuch, 338;-29,774961;-51,159377
A22;SLE;São Leopoldo;R. Quinze De Novembro, 318;-29,7549941;-51,150283
A23;SLE;São Leopoldo;R. Randolfo Guasque, 641;-29,7330943;-51,1615569
A27;SLE;São Leopoldo;R. Av. Oitavo Bc, 560;-29,7779136;-51,1533604
