codigo;cidSigla;Cidade;Endereco;coordinates/latitude;coordinates/longitude
A01;NHO;Novo Hamburgo;R. Onze De Julho, 145;-29,6804159;-51,1331846
A02;NHO;Novo Hamburgo;R. Marcilio Dias, 1447;-29,6878564;-51,1275564
A03;NHO;Novo Hamburgo;R. Marcilio Dias, 1077;-29,6882088;-51,1315224
A04;NHO;Novo Hamburgo;R. Calçadão Oswaldo Cruz, 300;-29,6855141;-51,1278426
A05;NHO;Novo Hamburgo;R. Do Ipê, 5;-29,7093952;-51,1343608
A07;NHO;Novo Hamburgo;R. Joaquin Pedro Soares, 394;-29,6834785;-51,1268162
A08;NHO;Novo Hamburgo;R. Lucas De Oliveira, 40;-29,6823757;-51,1274365
A09;NHO;Novo Hamburgo;R. Joaquim Nabuco, 435;-29,6843747;-51,1331124
A10;NHO;Novo Hamburgo;R. Domingos De Almeida, 212;-29,6805306;-51,1269832
A11;NHO;Novo Hamburgo;R. Bento Gonçalves, 1177;-29,6958144;-51,1267813
A12;NHO;Novo Hamburgo;R. Bento Gonçalves, 1277;-29,6951843;-51,126745
A13;NHO;Novo Hamburgo;R. Bento Gonçalves, 641;-29,700809;-51,1270033
A15;NHO;Novo Hamburgo;R. Santa Maria, 99;-29,6880479;-51,1333376
A16;NHO;Novo Hamburgo;R. Pedro Adans Filho, 2696;-29,708257;-51,131323
A17;NHO;Novo Hamburgo;R. Padre Nobrega, 20;-29,674141;-51,116104
A18;NHO;Novo Hamburgo;R. Corumba, 266;-29,718961;-51,138868
A19;NHO;Novo Hamburgo;R. Gen. Daltro Filho, 2162;-29,6759661;-51,0981238
A20;NHO;Novo Hamburgo;R. Santo Angelo, 433;-29,6727857;-51,1262753
A21;NHO;Novo Hamburgo;R. Curitiba, 678;-29,6920772;-51,1195708
A22;NHO;Novo Hamburgo;R. União Sul Africana, 601;-29,6760438;-51,1490791
A23;NHO;Novo Hamburgo;R. Visconde De Cairu, 300;-29,7211419;-51,1211297
A24;NHO;Novo Hamburgo;R. Caracas, 634;-29,729089;-51,1339459
A25;NHO;Novo Hamburgo;R. Irma Amalia, 259;-29,685233;-51,103283
A26;NHO;Novo Hamburgo;R. Napoles, 578;-29,6859021;-51,0940387
A27;NHO;Novo Hamburgo;R. Valkiria Splinder, 155;-29,6940759;-51,1013535
A28;NHO;Novo Hamburgo;R Amalie Thon, 70;-29,697294;-51,087672
A29;NHO;Novo Hamburgo;R. Maria Do Carmo Miranda Da Cunha, 701;-29,6999129;-51,0937755
A30;NHO;Novo Hamburgo;R. Plutão, 177;-29,674225;-51,162699
A31;NHO;Novo Hamburgo;R. Pedro Quaresma Da Silva, 1370;-29,6813086;-51,1712924
A32;NHO;Novo Hamburgo;R. Araçatuba,  452;-29,668987;-51,0967133
A33;NHO;Novo Hamburgo;R. Jacinto, 337;-29,6646758;-51,1063436
A35;NHO;Novo Hamburgo;R. Guaiba, 2108;-29,6534;-51,1028
A36;NHO;Novo Hamburgo;R. Guarujá, 645;-29,6980416;-51,1388889
A37;NHO;Novo Hamburgo;R. Oswaldo Cruz, 486;-29,687765;-51,147897
A38;NHO;Novo Hamburgo;R. 11 De Julho, 1250;-29,6710358;-51,137101
V03;NHO;Novo Hamburgo;R. Pres. Lucena, 3450;-29,6775657;-51,1577479
V02;NHO;Novo Hamburgo;R. Aldo Locatelli, 193;-29,6859503;-51,1027844
